"title","authors","keywords","affiliation","abstract"
"Title of Abstract","\index[\eualphabetical]{José P. Costa}José P. Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[1]"
"Title of Abstract","\index[\eualphabetical]{José P. Costa}José P. Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[2-4]"
"Title of Abstract","\index[\eualphabetical]{José Costa}José Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[1]"
"Title of Abstract","\index[\eualphabetical]{José Costa}José Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[2-4]"
"Title of Abstract","\index[\eualphabetical]{José Pedro Costa}José Pedro Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[1]"
"Title of Abstract","\index[\eualphabetical]{José Pedro Costa}José Pedro Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[2-4]"
"Title of Abstract","\index[\eualphabetical]{Pedro Costa}Pedro Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[1]"
"Title of Abstract","\index[\eualphabetical]{Pedro Costa}Pedro Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[2-4]"
"Title of Abstract","\index[\eualphabetical]{Pedro Costa}Pedro Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[1]"
"Title of Abstract","\index[\eualphabetical]{Pedro Costa}Pedro Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[2-4]"
"Title of Abstract","\index[\eualphabetical]{Pedro Costa}Pedro Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[1]"
"Title of Abstract","\index[\eualphabetical]{Pedro Costa}Pedro Costa","\index[\eunumerical]{Industrial Automation}Industrial Automation $\cdot$ \index[\eunumerical]{Industrial Maintenance}Industrial Maintenance $\cdot$ \index[\eunumerical]{Control}Control","Polytechnic Institute of Bragança","\lipsum[2-4]"